ID,Value
KDEN_220926_0900_90,0
KDEN_220926_0900_105,0
KDEN_220926_0900_120,0
KDEN_220926_0900_135,0
KDEN_220926_0900_150,0
KDEN_220926_0900_165,2
KDEN_220926_0900_180,4
KDEN_220926_1300_15,7
KDEN_220926_1300_30,6
KDEN_220926_1300_45,6
KDEN_220926_1300_60,6
KDEN_220926_1300_75,17
KDEN_220926_1300_90,17
KDEN_220926_1300_105,20
KDEN_220926_1300_120,19
KDEN_220926_1300_135,20
KDEN_220926_1300_150,11
KDEN_220926_1300_165,16
KDEN_220926_1300_180,19
KDEN_220926_1700_15,7
KDEN_220926_1700_30,8
KDEN_220926_1700_45,16
KDEN_220926_1700_60,16
KDEN_220926_1700_75,22
KDEN_220926_1700_90,19
KDEN_220926_1700_105,10
KDEN_220926_1700_120,8
KDEN_220926_1700_135,15
KDEN_220926_1700_150,14
KDEN_220926_1700_165,8
KDEN_220926_1700_180,11
KDEN_220926_2100_15,7
KDEN_220926_2100_30,12
KDEN_220926_2100_45,14
KDEN_220926_2100_60,13
KDEN_220926_2100_75,25
KDEN_220926_2100_90,22
KDEN_220926_2100_105,14
KDEN_220926_2100_120,7
KDEN_220926_2100_135,13
KDEN_220926_2100_150,15
KDEN_220926_2100_165,26
KDEN_220926_2100_180,27
KDEN_220927_0100_15,18
KDEN_220927_0100_30,19
KDEN_220927_0100_45,11
KDEN_220927_0100_60,11
KDEN_220927_0100_75,10
KDEN_220927_0100_90,9
KDEN_220927_0100_105,5
KDEN_220927_0100_120,11
KDEN_220927_0100_135,10
KDEN_220927_0100_150,6
KDEN_220927_0100_165,4
KDEN_220927_0100_180,2
KDEN_220927_0500_15,7
KDEN_220927_0500_30,4
KDEN_220927_0500_45,3
KDEN_220927_0500_60,5
KDEN_220927_0500_75,3
KDEN_220927_0500_90,4
KDEN_220927_0500_105,2
KDEN_220927_0500_120,3
KDEN_220927_0500_135,1
KDEN_220927_0500_150,1
KDEN_220927_0500_165,0
KDEN_220927_0500_180,1
KDEN_220927_0900_15,0
KDEN_220927_0900_30,2
KDEN_220927_0900_45,1
KDEN_220927_0900_60,0
KDEN_220927_0900_75,2
KDEN_220927_0900_90,0
KDEN_220927_0900_105,1
KDEN_220927_0900_120,1
KDEN_220927_0900_135,1
KDEN_220927_0900_150,0
KDEN_220927_0900_165,0
KDEN_220927_0900_180,5
KDEN_220927_1300_15,11
KDEN_220927_1300_30,7
KDEN_220927_1300_45,5
KDEN_220927_1300_60,5
KDEN_220927_1300_75,9
KDEN_220927_1300_90,18
KDEN_220927_1300_105,19
KDEN_220927_1300_120,21
KDEN_220927_1300_135,18
KDEN_220927_1300_150,15
KDEN_220927_1300_165,14
KDEN_220927_1300_180,19
KDEN_220927_1700_15,10
KDEN_220927_1700_30,11
KDEN_220927_1700_45,10
KDEN_220927_1700_60,19
KDEN_220927_1700_75,23
KDEN_220927_1700_90,14
KDEN_220927_1700_105,12
KDEN_220927_1700_120,11
KDEN_220927_1700_135,5
KDEN_220927_1700_150,10
KDEN_220927_1700_165,9
KDEN_220927_1700_180,10
KDEN_220927_2100_15,13
KDEN_220927_2100_30,11
KDEN_220927_2100_45,11
KDEN_220927_2100_60,14
KDEN_220927_2100_75,23
KDEN_220927_2100_90,23
KDEN_220927_2100_105,16
KDEN_220927_2100_120,8
KDEN_220927_2100_135,7
KDEN_220927_2100_150,16
KDEN_220927_2100_165,16
KDEN_220927_2100_180,17
KDEN_220928_0100_15,16
KDEN_220928_0100_30,19
KDEN_220928_0100_45,12
KDEN_220928_0100_60,12
KDEN_220928_0100_75,10
KDEN_220928_0100_90,8
KDEN_220928_0100_105,6
KDEN_220928_0100_120,6
KDEN_220928_0100_135,6
KDEN_220928_0100_150,6
KDEN_220928_0100_165,8
KDEN_220928_0100_180,2
KDEN_220928_0500_15,4
KDEN_220928_0500_30,5
KDEN_220928_0500_45,5
KDEN_220928_0500_60,4
KDEN_220928_0500_75,1
KDEN_220928_0500_90,4
KDEN_220928_0500_105,3
KDEN_220928_0500_120,0
KDEN_220928_0500_135,0
KDEN_220928_0500_150,0
KDEN_220928_0500_165,2
KDEN_220928_0500_180,1
KDEN_220928_0900_15,2
KDEN_220928_0900_30,0
KDEN_220928_0900_45,0
KDEN_220928_0900_60,1
KDEN_220928_0900_75,3
KDEN_220928_0900_90,0
KDEN_220928_0900_105,1
KDEN_220928_0900_120,2
KDEN_220928_0900_135,0
KDEN_220928_0900_150,0
KDEN_220928_0900_165,2
KDEN_220928_0900_180,4
KDEN_220928_1300_15,9
KDEN_220928_1300_30,5
KDEN_220928_1300_45,10
KDEN_220928_1300_60,3
KDEN_220928_1300_75,14
KDEN_220928_1300_90,17
KDEN_220928_1300_105,20
KDEN_220928_1300_120,21
KDEN_220928_1300_135,16
KDEN_220928_1300_150,13
KDEN_220928_1300_165,19
KDEN_220928_1300_180,26
KDEN_220928_1700_15,5
KDEN_220928_1700_30,13
KDEN_220928_1700_45,12
KDEN_220928_1700_60,16
KDEN_220928_1700_75,20
KDEN_220928_1700_90,17
KDEN_220928_1700_105,14
KDEN_220928_1700_120,2
KDEN_220928_1700_135,8
KDEN_220928_1700_150,10
KDEN_220928_1700_165,11
KDEN_220928_1700_180,12
KDEN_220928_2100_15,5
KDEN_220928_2100_30,12
KDEN_220928_2100_45,10
KDEN_220928_2100_60,18
KDEN_220928_2100_75,27
KDEN_220928_2100_90,29
KDEN_220928_2100_105,15
KDEN_220928_2100_120,6
KDEN_220928_2100_135,7
KDEN_220928_2100_150,16
KDEN_220928_2100_165,24
KDEN_220928_2100_180,30
KDEN_220929_0100_15,15
KDEN_220929_0100_30,21
KDEN_220929_0100_45,14
KDEN_220929_0100_60,10
KDEN_220929_0100_75,13
KDEN_220929_0100_90,9
KDEN_220929_0100_105,7
KDEN_220929_0100_120,11
KDEN_220929_0100_135,4
KDEN_220929_0100_150,6
KDEN_220929_0100_165,6
KDEN_220929_0100_180,7
KDEN_220929_0500_15,4
KDEN_220929_0500_30,3
KDEN_220929_0500_45,2
KDEN_220929_0500_60,8
KDEN_220929_0500_75,4
KDEN_220929_0500_90,1
KDEN_220929_0500_105,2
KDEN_220929_0500_120,0
KDEN_220929_0500_135,0
KDEN_220929_0500_150,1
KDEN_220929_0500_165,1
KDEN_220929_0500_180,0
KDEN_220929_0900_15,0
KDEN_220929_0900_30,2
KDEN_220929_0900_45,1
KDEN_220929_0900_60,1
KDEN_220929_0900_75,2
KDEN_220929_0900_90,1
KDEN_220929_0900_105,1
KDEN_220929_0900_120,1
KDEN_220929_0900_135,0
KDEN_220929_0900_150,1
KDEN_220929_0900_165,0
KDEN_220929_0900_180,7
KDEN_220929_1300_15,14
KDEN_220929_1300_30,2
KDEN_220929_1300_45,10
KDEN_220929_1300_60,4
KDEN_220929_1300_75,13
KDEN_220929_1300_90,27
KDEN_220929_1300_105,24
KDEN_220929_1300_120,19
KDEN_220929_1300_135,8
KDEN_220929_1300_150,8
KDEN_220929_1300_165,21
KDEN_220929_1300_180,24
KDEN_220929_1700_15,7
KDEN_220929_1700_30,8
KDEN_220929_1700_45,12
KDEN_220929_1700_60,21
KDEN_220929_1700_75,19
KDEN_220929_1700_90,18
KDEN_220929_1700_105,12
KDEN_220929_1700_120,8
KDEN_220929_1700_135,6
KDEN_220929_1700_150,14
KDEN_220929_1700_165,9
KDEN_220929_1700_180,13
KDEN_220929_2100_15,10
KDEN_220929_2100_30,8
KDEN_220929_2100_45,14
KDEN_220929_2100_60,19
KDEN_220929_2100_75,26
KDEN_220929_2100_90,26
KDEN_220929_2100_105,12
KDEN_220929_2100_120,9
KDEN_220929_2100_135,10
KDEN_220929_2100_150,18
KDEN_220929_2100_165,21
KDEN_220929_2100_180,20
KDEN_220930_0100_15,21
KDEN_220930_0100_30,22
KDEN_220930_0100_45,12
KDEN_220930_0100_60,12
KDEN_220930_0100_75,12
KDEN_220930_0100_90,7
KDEN_220930_0100_105,8
KDEN_220930_0100_120,5
KDEN_220930_0100_135,12
KDEN_220930_0100_150,3
KDEN_220930_0100_165,6
KDEN_220930_0100_180,3
KDEN_220930_0500_15,5
KDEN_220930_0500_30,6
KDEN_220930_0500_45,6
KDEN_220930_0500_60,7
KDEN_220930_0500_75,2
KDEN_220930_0500_90,4
KDEN_220930_0500_105,3
KDEN_220930_0500_120,1
KDEN_220930_0500_135,1
KDEN_220930_0500_150,2
KDEN_220930_0500_165,0
KDEN_220930_0500_180,1
KDEN_220930_0900_15,1
KDEN_220930_0900_30,1
KDEN_220930_0900_45,1
KDEN_220930_0900_60,0
KDEN_220930_0900_75,1
KDEN_220930_0900_90,2
KDEN_220930_0900_105,2
KDEN_220930_0900_120,1
KDEN_220930_0900_135,0
KDEN_220930_0900_150,0
KDEN_220930_0900_165,1
KDEN_220930_0900_180,6
KDEN_220930_1300_15,13
KDEN_220930_1300_30,5
KDEN_220930_1300_45,5
KDEN_220930_1300_60,7
KDEN_220930_1300_75,15
KDEN_220930_1300_90,19
KDEN_220930_1300_105,21
KDEN_220930_1300_120,25
KDEN_220930_1300_135,12
KDEN_220930_1300_150,10
KDEN_220930_1300_165,23
KDEN_220930_1300_180,25
KDEN_220930_1700_15,6
KDEN_220930_1700_30,9
KDEN_220930_1700_45,12
KDEN_220930_1700_60,13
KDEN_220930_1700_75,17
KDEN_220930_1700_90,20
KDEN_220930_1700_105,15
KDEN_220930_1700_120,10
KDEN_220930_1700_135,10
KDEN_220930_1700_150,9
KDEN_220930_1700_165,11
KDEN_220930_1700_180,11
KDEN_220930_2100_15,13
KDEN_220930_2100_30,9
KDEN_220930_2100_45,10
KDEN_220930_2100_60,13
KDEN_220930_2100_75,19
KDEN_220930_2100_90,16
KDEN_220930_2100_105,17
KDEN_220930_2100_120,11
KDEN_220930_2100_135,0
KDEN_220930_2100_150,5
KDEN_220930_2100_165,7
KDEN_220930_2100_180,16
KDEN_221001_0100_15,15
KDEN_221001_0100_30,14
KDEN_221001_0100_45,16
KDEN_221001_0100_60,19
KDEN_221001_0100_75,17
KDEN_221001_0100_90,20
KDEN_221001_0100_105,13
KDEN_221001_0100_120,14
KDEN_221001_0100_135,14
KDEN_221001_0100_150,9
KDEN_221001_0100_165,3
KDEN_221001_0100_180,6
KDEN_221001_0500_15,6
KDEN_221001_0500_30,7
KDEN_221001_0500_45,4
KDEN_221001_0500_60,6
KDEN_221001_0500_75,4
KDEN_221001_0500_90,7
KDEN_221001_0500_105,3
KDEN_221001_0500_120,1
KDEN_221001_0500_135,2
KDEN_221001_0500_150,0
KDEN_221001_0500_165,2
KDEN_221001_0500_180,2
KDEN_221001_0900_15,0
KDEN_221001_0900_30,0
KDEN_221001_0900_45,0
KDEN_221001_0900_60,0
KDEN_221001_0900_75,0
KDEN_221001_0900_90,0
KDEN_221001_0900_105,2
KDEN_221001_0900_120,0
KDEN_221001_0900_135,0
KDEN_221001_0900_150,0
KDEN_221001_0900_165,1
KDEN_221001_0900_180,2
KDEN_221001_1300_15,8
KDEN_221001_1300_30,5
KDEN_221001_1300_45,9
KDEN_221001_1300_60,3
KDEN_221001_1300_75,12
KDEN_221001_1300_90,20
KDEN_221001_1300_105,27
KDEN_221001_1300_120,18
KDEN_221001_1300_135,9
KDEN_221001_1300_150,8
KDEN_221001_1300_165,20
KDEN_221001_1300_180,27
KDEN_221001_1700_15,10
KDEN_221001_1700_30,12
KDEN_221001_1700_45,12
KDEN_221001_1700_60,13
KDEN_221001_1700_75,15
KDEN_221001_1700_90,17
KDEN_221001_1700_105,8
KDEN_221001_1700_120,5
KDEN_221001_1700_135,8
KDEN_221001_1700_150,9
KDEN_221001_1700_165,9
KDEN_221001_1700_180,11
KDEN_221001_2100_15,8
KDEN_221001_2100_30,4
KDEN_221001_2100_45,11
KDEN_221001_2100_60,4
KDEN_221001_2100_75,17
KDEN_221001_2100_90,13
KDEN_221001_2100_105,6
KDEN_221001_2100_120,3
KDEN_221001_2100_135,1
KDEN_221001_2100_150,0
KDEN_221001_2100_165,2
KDEN_221001_2100_180,11
KDEN_221002_0100_15,14
KDEN_221002_0100_30,20
KDEN_221002_0100_45,17
KDEN_221002_0100_60,18
KDEN_221002_0100_75,14
KDEN_221002_0100_90,9
KDEN_221002_0100_105,14
KDEN_221002_0100_120,7
KDEN_221002_0100_135,7
KDEN_221002_0100_150,6
KDEN_221002_0100_165,4
KDEN_221002_0100_180,8
KDEN_221002_0500_15,8
KDEN_221002_0500_30,1
KDEN_221002_0500_45,4
KDEN_221002_0500_60,0
KDEN_221002_0500_75,1
KDEN_221002_0500_90,1
KDEN_221002_0500_105,1
KDEN_221002_0500_120,2
KDEN_221002_0500_135,2
KDEN_221002_0500_150,2
KDEN_221002_0500_165,0
KDEN_221002_0500_180,2
KDEN_221002_0900_15,0
KDEN_221002_0900_30,0
KDEN_221002_0900_45,0
KDEN_221002_0900_60,0
KDEN_221002_0900_75,1
KDEN_221002_0900_90,0
KDEN_221002_0900_105,0
KDEN_221002_0900_120,0
KDEN_221002_0900_135,0
KDEN_221002_0900_150,0
KDEN_221002_0900_165,1
KDEN_221002_0900_180,1
KDEN_221002_1300_15,5
KDEN_221002_1300_30,6
KDEN_221002_1300_45,11
KDEN_221002_1300_60,5
KDEN_221002_1300_75,12
KDEN_221002_1300_90,22
KDEN_221002_1300_105,25
KDEN_221002_1300_120,13
KDEN_221002_1300_135,7
KDEN_221002_1300_150,8
KDEN_221002_1300_165,16
KDEN_221002_1300_180,24
KDEN_221002_1700_15,5
KDEN_221002_1700_30,13
KDEN_221002_1700_45,12
KDEN_221002_1700_60,14
KDEN_221002_1700_75,18
KDEN_221002_1700_90,17
KDEN_221002_1700_105,14
KDEN_221002_1700_120,6
KDEN_221002_1700_135,10
KDEN_221002_1700_150,8
KDEN_221002_1700_165,8
KDEN_221002_1700_180,15
KDEN_221002_2100_15,11
KDEN_221002_2100_30,15
KDEN_221002_2100_45,15
KDEN_221002_2100_60,12
KDEN_221002_2100_75,20
KDEN_221002_2100_90,21
KDEN_221002_2100_105,13
KDEN_221002_2100_120,14
KDEN_221002_2100_135,9
KDEN_221002_2100_150,16
KDEN_221002_2100_165,24
KDEN_221002_2100_180,25
KDEN_221027_0100_15,12
KDEN_221027_0100_30,19
KDEN_221027_0100_45,8
KDEN_221027_0100_60,10
KDEN_221027_0100_75,9
KDEN_221027_0100_90,8
KDEN_221027_0100_105,10
KDEN_221027_0100_120,8
KDEN_221027_0100_135,14
KDEN_221027_0100_150,3
KDEN_221027_0100_165,5
KDEN_221027_0100_180,5
KDEN_221027_0500_15,8
KDEN_221027_0500_30,4
KDEN_221027_0500_45,4
KDEN_221027_0500_60,6
KDEN_221027_0500_75,2
KDEN_221027_0500_90,3
KDEN_221027_0500_105,2
KDEN_221027_0500_120,0
KDEN_221027_0500_135,2
KDEN_221027_0500_150,0
KDEN_221027_0500_165,1
KDEN_221027_0500_180,2
KDEN_221027_0900_15,1
KDEN_221027_0900_30,1
KDEN_221027_0900_45,1
KDEN_221027_0900_60,0
KDEN_221027_0900_75,2
KDEN_221027_0900_90,0
KDEN_221027_0900_105,0
KDEN_221027_0900_120,2
KDEN_221027_0900_135,0
KDEN_221027_0900_150,1
KDEN_221027_0900_165,0
KDEN_221027_0900_180,4
KDEN_221027_1300_15,11
KDEN_221027_1300_30,7
KDEN_221027_1300_45,8
KDEN_221027_1300_60,5
KDEN_221027_1300_75,9
KDEN_221027_1300_90,14
KDEN_221027_1300_105,23
KDEN_221027_1300_120,20
KDEN_221027_1300_135,14
KDEN_221027_1300_150,12
KDEN_221027_1300_165,11
KDEN_221027_1300_180,19
KDEN_221027_1700_15,12
KDEN_221027_1700_30,8
KDEN_221027_1700_45,9
KDEN_221027_1700_60,9
KDEN_221027_1700_75,17
KDEN_221027_1700_90,18
KDEN_221027_1700_105,16
KDEN_221027_1700_120,10
KDEN_221027_1700_135,13
KDEN_221027_1700_150,15
KDEN_221027_1700_165,7
KDEN_221027_1700_180,15
KDEN_221027_2100_15,13
KDEN_221027_2100_30,15
KDEN_221027_2100_45,10
KDEN_221027_2100_60,13
KDEN_221027_2100_75,15
KDEN_221027_2100_90,24
KDEN_221027_2100_105,21
KDEN_221027_2100_120,15
KDEN_221027_2100_135,14
KDEN_221027_2100_150,15
KDEN_221027_2100_165,26
KDEN_221027_2100_180,26
KDEN_221030_0100_15,18
KDEN_221030_0100_30,16
KDEN_221030_0100_45,9
KDEN_221030_0100_60,5
KDEN_221030_0100_75,1
KDEN_221030_0100_90,2
KDEN_221030_0100_105,7
KDEN_221030_0100_120,6
KDEN_221030_0100_135,5
KDEN_221030_0100_150,5
KDEN_221030_0100_165,7
KDEN_221030_0100_180,5
KDEN_221030_0500_15,2
KDEN_221030_0500_30,2
KDEN_221030_0500_45,3
KDEN_221030_0500_60,0
KDEN_221030_0500_75,3
KDEN_221030_0500_90,0
KDEN_221030_0500_105,0
KDEN_221030_0500_120,3
KDEN_221030_0500_135,2
KDEN_221030_0500_150,0
KDEN_221030_0500_165,1
KDEN_221030_0500_180,1
KDEN_221030_0900_15,0
KDEN_221030_0900_30,0
KDEN_221030_0900_45,0
KDEN_221030_0900_60,0
KDEN_221030_0900_75,0
KDEN_221030_0900_90,0
KDEN_221030_0900_105,0
KDEN_221030_0900_120,0
KDEN_221030_0900_135,0
KDEN_221030_0900_150,0
KDEN_221030_0900_165,1
KDEN_221030_0900_180,3
KDEN_221030_1300_15,6
KDEN_221030_1300_30,4
KDEN_221030_1300_45,9
KDEN_221030_1300_60,10
KDEN_221030_1300_75,10
KDEN_221030_1300_90,23
KDEN_221030_1300_105,23
KDEN_221030_1300_120,17
KDEN_221030_1300_135,10
KDEN_221030_1300_150,12
KDEN_221030_1300_165,20
KDEN_221030_1300_180,28
KDEN_221030_1700_15,6
KDEN_221030_1700_30,11
KDEN_221030_1700_45,14
KDEN_221030_1700_60,13
KDEN_221030_1700_75,13
KDEN_221030_1700_90,18
KDEN_221030_1700_105,7
KDEN_221030_1700_120,8
KDEN_221030_1700_135,11
KDEN_221030_1700_150,7
KDEN_221030_1700_165,11
KDEN_221030_1700_180,13
KDEN_221030_2100_15,9
KDEN_221030_2100_30,8
KDEN_221030_2100_45,10
KDEN_221030_2100_60,17
KDEN_221030_2100_75,21
KDEN_221030_2100_90,26
KDEN_221030_2100_105,11
KDEN_221030_2100_120,9
KDEN_221030_2100_135,14
KDEN_221030_2100_150,22
KDEN_221030_2100_165,16
KDEN_221030_2100_180,24
KDEN_221031_0100_15,15
KDEN_221031_0100_30,18
KDEN_221031_0100_45,6
KDEN_221031_0100_60,6
KDEN_221031_0100_75,3
KDEN_221031_0100_90,8
KDEN_221031_0100_105,8
KDEN_221031_0100_120,7
KDEN_221031_0100_135,7
KDEN_221031_0100_150,4
KDEN_221031_0100_165,3
KDEN_221031_0100_180,6
KDEN_221031_0500_15,4
KDEN_221031_0500_30,9
KDEN_221031_0500_45,9
KDEN_221031_0500_60,7
KDEN_221031_0500_75,3
KDEN_221031_0500_90,2
KDEN_221031_0500_105,2
KDEN_221031_0500_120,0
KDEN_221031_0500_135,2
KDEN_221031_0500_150,1
KDEN_221031_0500_165,1
KDEN_221031_0500_180,0
KDEN_221031_0900_15,0
KDEN_221031_0900_30,0
KDEN_221031_0900_45,0
KDEN_221031_0900_60,0
KDEN_221031_0900_75,0
KDEN_221031_0900_90,0
KDEN_221031_0900_105,0
KDEN_221031_0900_120,0
KDEN_221031_0900_135,0
KDEN_221031_0900_150,0
KDEN_221031_0900_165,1
KDEN_221031_0900_180,4
KDEN_221031_1300_15,10
KDEN_221031_1300_30,7
KDEN_221031_1300_45,2
KDEN_221031_1300_60,7
KDEN_221031_1300_75,14
KDEN_221031_1300_90,18
KDEN_221031_1300_105,24
KDEN_221031_1300_120,17
KDEN_221031_1300_135,15
KDEN_221031_1300_150,14
KDEN_221031_1300_165,19
KDEN_221031_1300_180,25
KDEN_221031_1700_15,6
KDEN_221031_1700_30,11
KDEN_221031_1700_45,14
KDEN_221031_1700_60,17
KDEN_221031_1700_75,16
KDEN_221031_1700_90,17
KDEN_221031_1700_105,11
KDEN_221031_1700_120,8
KDEN_221031_1700_135,10
KDEN_221031_1700_150,16
KDEN_221031_1700_165,5
KDEN_221031_1700_180,14
KDEN_221031_2100_15,10
KDEN_221031_2100_30,8
KDEN_221031_2100_45,13
KDEN_221031_2100_60,18
KDEN_221031_2100_75,26
KDEN_221031_2100_90,25
KDEN_221031_2100_105,15
KDEN_221031_2100_120,11
KDEN_221031_2100_135,9
KDEN_221031_2100_150,19
KDEN_221031_2100_165,24
KDEN_221031_2100_180,18
KDEN_221101_0100_15,13
KDEN_221101_0100_30,15
KDEN_221101_0100_45,7
KDEN_221101_0100_60,10
KDEN_221101_0100_75,10
KDEN_221101_0100_90,10
KDEN_221101_0100_105,5
KDEN_221101_0100_120,4
KDEN_221101_0100_135,6
KDEN_221101_0100_150,4
KDEN_221101_0100_165,7
KDEN_221101_0100_180,8
KDEN_221101_0500_15,5
KDEN_221101_0500_30,5
KDEN_221101_0500_45,5
KDEN_221101_0500_60,4
KDEN_221101_0500_75,3
KDEN_221101_0500_90,4
KDEN_221101_0500_105,1
KDEN_221101_0500_120,1
KDEN_221101_0500_135,1
KDEN_221101_0500_150,0
KDEN_221101_0500_165,3
KDEN_221101_0500_180,0
KDEN_221101_0900_15,2
KDEN_221101_0900_30,2
KDEN_221101_0900_45,0
KDEN_221101_0900_60,0
KDEN_221101_0900_75,1
KDEN_221101_0900_90,1
KDEN_221101_0900_105,0
KDEN_221101_0900_120,0
KDEN_221101_0900_135,0
KDEN_221101_0900_150,1
KDEN_221101_0900_165,3
KDEN_221101_0900_180,6
KDEN_221101_1300_15,10
KDEN_221101_1300_30,7
KDEN_221101_1300_45,2
KDEN_221101_1300_60,7
KDEN_221101_1300_75,10
KDEN_221101_1300_90,22
KDEN_221101_1300_105,23
KDEN_221101_1300_120,16
KDEN_221101_1300_135,13
KDEN_221101_1300_150,14
KDEN_221101_1300_165,22
KDEN_221101_1300_180,26
KDEN_221101_1700_15,6
KDEN_221101_1700_30,10
KDEN_221101_1700_45,15
KDEN_221101_1700_60,16
KDEN_221101_1700_75,17
KDEN_221101_1700_90,17
KDEN_221101_1700_105,9
KDEN_221101_1700_120,10
KDEN_221101_1700_135,9
KDEN_221101_1700_150,15
KDEN_221101_1700_165,8
KDEN_221101_1700_180,13
KDEN_221101_2100_15,10
KDEN_221101_2100_30,15
KDEN_221101_2100_45,13
KDEN_221101_2100_60,17
KDEN_221101_2100_75,24
KDEN_221101_2100_90,23
KDEN_221101_2100_105,9
KDEN_221101_2100_120,4
KDEN_221101_2100_135,16
KDEN_221101_2100_150,24
KDEN_221101_2100_165,21
KDEN_221101_2100_180,17
KDEN_221102_0100_15,17
KDEN_221102_0100_30,12
KDEN_221102_0100_45,7
KDEN_221102_0100_60,13
KDEN_221102_0100_75,11
KDEN_221102_0100_90,13
KDEN_221102_0100_105,8
KDEN_221102_0100_120,9
KDEN_221102_0100_135,3
KDEN_221102_0100_150,5
KDEN_221102_0100_165,5
KDEN_221102_0100_180,6
KDEN_221102_0500_15,5
KDEN_221102_0500_30,6
KDEN_221102_0500_45,7
KDEN_221102_0500_60,5
KDEN_221102_0500_75,2
KDEN_221102_0500_90,4
KDEN_221102_0500_105,1
KDEN_221102_0500_120,1
KDEN_221102_0500_135,3
KDEN_221102_0500_150,1
KDEN_221102_0500_165,0
KDEN_221102_0500_180,0
KDEN_221102_0900_15,1
KDEN_221102_0900_30,1
KDEN_221102_0900_45,1
KDEN_221102_0900_60,0
KDEN_221102_0900_75,1
KDEN_221102_0900_90,0
KDEN_221102_0900_105,2
KDEN_221102_0900_120,1
KDEN_221102_0900_135,0
KDEN_221102_0900_150,0
KDEN_221102_0900_165,0
KDEN_221102_0900_180,8
KDEN_221102_1300_15,8
KDEN_221102_1300_30,7
KDEN_221102_1300_45,5
KDEN_221102_1300_60,10
KDEN_221102_1300_75,11
KDEN_221102_1300_90,21
KDEN_221102_1300_105,23
KDEN_221102_1300_120,18
KDEN_221102_1300_135,8
KDEN_221102_1300_150,15
KDEN_221102_1300_165,22
KDEN_221102_1300_180,24
KDEN_221102_1700_15,4
KDEN_221102_1700_30,14
KDEN_221102_1700_45,9
KDEN_221102_1700_60,19
KDEN_221102_1700_75,17
KDEN_221102_1700_90,17
KDEN_221102_1700_105,11
KDEN_221102_1700_120,6
KDEN_221102_1700_135,8
KDEN_221102_1700_150,11
KDEN_221102_1700_165,13
KDEN_221102_1700_180,11
KDEN_221102_2100_15,12
KDEN_221102_2100_30,14
KDEN_221102_2100_45,14
KDEN_221102_2100_60,20
KDEN_221102_2100_75,25
KDEN_221102_2100_90,21
KDEN_221102_2100_105,11
KDEN_221102_2100_120,9
